('BNS: 1.1 P1                   ', ['Operators:', '(1|0,0,0)'])
('BNS: 14.82 P_c2_1/c           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,1/2,1/2)', '(-1|0,0,0)', '(my|0,1/2,1/2)', "(1|0,0,1/2)'", "(2y|0,1/2,0)'", "(-1|0,0,1/2)'", "(my|0,1/2,0)'"])
('BNS: 14.83 P_A2_1/c           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,1/2,1/2)', '(-1|0,0,0)', '(my|0,1/2,1/2)', "(1|0,1/2,1/2)'", "(2y|0,0,0)'", "(-1|0,1/2,1/2)'", "(my|0,0,0)'"])
('BNS: 14.84 P_C2_1/c           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,1/2,1/2)', '(-1|0,0,0)', '(my|0,1/2,1/2)', "(1|1/2,1/2,0)'", "(2y|1/2,0,1/2)'", "(-1|1/2,1/2,0)'", "(my|1/2,0,1/2)'"])
('BNS: 15.85 C2/c               ', ['Operators:', '(1|0,0,0)', '(2y|0,0,1/2)', '(-1|0,0,0)', '(my|0,0,1/2)'])
("BNS: 15.86 C2/c1'             ", ['Operators:', '(1|0,0,0)', '(2y|0,0,1/2)', '(-1|0,0,0)', '(my|0,0,1/2)', "(1|0,0,0)'", "(2y|0,0,1/2)'", "(-1|0,0,0)'", "(my|0,0,1/2)'"])
("BNS: 15.87 C2'/c              ", ['Operators:', '(1|0,0,0)', "(2y|0,0,1/2)'", "(-1|0,0,0)'", '(my|0,0,1/2)'])
("BNS: 15.88 C2/c'              ", ['Operators:', '(1|0,0,0)', '(2y|0,0,1/2)', "(-1|0,0,0)'", "(my|0,0,1/2)'"])
("BNS: 15.89 C2'/c'             ", ['Operators:', '(1|0,0,0)', "(2y|0,0,1/2)'", '(-1|0,0,0)', "(my|0,0,1/2)'"])
('BNS: 15.90 C_c2/c             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,1/2)', '(-1|0,0,0)', '(my|0,0,1/2)', "(1|0,0,1/2)'", "(2y|0,0,0)'", "(-1|0,0,1/2)'", "(my|0,0,0)'"])
('BNS: 15.91 C_a2/c             ', ['Operators', '(BNS):', '(1|0,0,0)', '(2y|0,0,1/2)', '(-1|0,0,0)', '(my|0,0,1/2)', "(1|1/2,0,0)'", "(2y|0,1/2,1/2)'", "(-1|0,1/2,0)'", "(my|0,1/2,1/2)'"])
('BNS: 16.1 P222                ', ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)'])
("BNS: 16.2 P2221'              ", ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|0,0,0)'"])
("BNS: 16.3 P2'2'2              ", ['Operators:', '(1|0,0,0)', "(2x|0,0,0)'", "(2y|0,0,0)'", '(2z|0,0,0)'])
('BNS: 16.4 P_a222              ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|1/2,0,0)'", "(2x|1/2,0,0)'", "(2y|1/2,0,0)'", "(2z|1/2,0,0)'"])
('BNS: 16.5 P_C222              ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|1/2,1/2,0)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", "(2z|1/2,1/2,0)'"])
('BNS: 16.6 P_I222              ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,0)', '(2z|0,0,0)', "(1|1/2,1/2,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'"])
('BNS: 17.7 P222_1              ', ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)'])
("BNS: 17.8 P222_11'            ", ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)', "(1|0,0,0)'", "(2x|0,0,0)'", "(2y|0,0,1/2)'", "(2z|0,0,1/2)'"])
("BNS: 17.9 P2'2'2_1            ", ['Operators:', '(1|0,0,0)', "(2x|0,0,0)'", "(2y|0,0,1/2)'", '(2z|0,0,1/2)'])
("BNS: 17.10 P22'2_1'           ", ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', "(2y|0,0,1/2)'", "(2z|0,0,1/2)'"])
('BNS: 17.11 P_a222_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)', "(1|1/2,0,0)'", "(2x|1/2,0,0)'", "(2y|1/2,0,1/2)'", "(2z|1/2,0,1/2)'"])
('BNS: 17.12 P_c222_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)', "(1|0,0,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,0)'", "(2z|0,0,0)'"])
('BNS: 17.13 P_B222_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)', "(1|1/2,0,1/2)'", "(2x|1/2,0,1/2)'", "(2y|1/2,0,0)'", "(2z|1/2,0,0)'"])
('BNS: 17.14 P_C222_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)', "(1|1/2,1/2,0)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,1/2)'", "(2z|1/2,1/2,1/2)'"])
('BNS: 17.15 P_I222_1           ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)', "(1|1/2,1/2,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,0)'", "(2z|1/2,1/2,0)'"])
('BNS: 18.16 P2_12_12           ', ['Operators:', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)'])
("BNS: 18.17 P2_12_121'         ", ['Operators:', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', "(1|0,0,0)'", "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", "(2z|0,0,0)'"])
("BNS: 18.18 P2_1'2_1'2         ", ['Operators:', '(1|0,0,0)', "(2x|1/2,1/2,0)'", "(2y|1/2,1/2,0)'", '(2z|0,0,0)'])
("BNS: 18.19 P2_12_1'2'         ", ['Operators:', '(1|0,0,0)', '(2x|1/2,1/2,0)', "(2y|1/2,1/2,0)'", "(2z|0,0,0)'"])
('BNS: 18.20 P_b2_12_12         ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', "(1|0,1/2,0)'", "(2x|1/2,0,0)'", "(2y|1/2,0,0)'", "(2z|0,1/2,0)'"])
('BNS: 18.21 P_c2_12_12         ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', "(1|0,0,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|1/2,1/2,1/2)'", "(2z|0,0,1/2)'"])
('BNS: 18.22 P_B2_12_12         ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', "(1|1/2,0,1/2)'", "(2x|0,1/2,1/2)'", "(2y|0,1/2,1/2)'", "(2z|1/2,0,1/2)'"])
('BNS: 18.23 P_C2_12_12         ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', "(1|1/2,1/2,0)'", "(2x|0,0,0)'", "(2y|0,0,0)'", "(2z|1/2,1/2,0)'"])
('BNS: 18.24 P_I2_12_12         ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|1/2,1/2,0)', '(2z|0,0,0)', "(1|1/2,1/2,1/2)'", "(2x|0,0,1/2)'", "(2y|0,0,1/2)'", "(2z|1/2,1/2,1/2)'"])
('BNS: 19.25 P2_12_12_1         ', ['Operators:', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|0,1/2,1/2)', '(2z|1/2,0,1/2)'])
("BNS: 19.26 P2_12_12_11'       ", ['Operators:', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|0,1/2,1/2)', '(2z|1/2,0,1/2)', "(1|0,0,0)'", "(2x|1/2,1/2,0)'", "(2y|0,1/2,1/2)'", "(2z|1/2,0,1/2)'"])
("BNS: 19.27 P2_1'2_1'2_1       ", ['Operators:', '(1|0,0,0)', "(2x|1/2,1/2,0)'", "(2y|0,1/2,1/2)'", '(2z|1/2,0,1/2)'])
('BNS: 19.28 P_c2_12_12_1       ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|0,1/2,1/2)', '(2z|1/2,0,1/2)', "(1|0,0,1/2)'", "(2x|1/2,1/2,1/2)'", "(2y|0,1/2,0)'", "(2z|1/2,0,0)'"])
('BNS: 19.29 P_C2_12_12_1       ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|0,1/2,1/2)', '(2z|1/2,0,1/2)', "(1|1/2,1/2,0)'", "(2x|0,0,0)'", "(2y|1/2,0,1/2)'", "(2z|0,1/2,1/2)'"])
('BNS: 19.30 P_I2_12_12_1       ', ['Operators', '(BNS):', '(1|0,0,0)', '(2x|1/2,1/2,0)', '(2y|0,1/2,1/2)', '(2z|1/2,0,1/2)', "(1|1/2,1/2,1/2)'", "(2x|0,0,1/2)'", "(2y|1/2,0,0)'", "(2z|0,1/2,0)'"])
('BNS: 20.31 C222_1             ', ['Operators:', '(1|0,0,0)', '(2x|0,0,0)', '(2y|0,0,1/2)', '(2z|0,0,1/2)'])
